Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,Humidity,Fertilizer
Red,Groundnut,87,91,79,6.0,54.9,37.1,72.9,17-17-17
Sandy,Millets,112,34,42,8.4,26.0,30.8,71.9,DAP
Red,Maize,53,95,63,6.8,51.2,23.3,53.7,Urea
Red,Chickpea,25,77,43,7.3,27.3,29.3,66.7,Urea
Red,Maize,6,88,96,5.5,44.3,37.0,65.3,Urea
Red,Groundnut,108,8,6,6.3,70.5,28.9,41.5,DAP
Clayey,Sugarcane,78,66,18,6.8,67.1,30.2,41.4,10-26-26
Red,Millets,57,28,30,6.3,44.4,20.8,54.6,DAP
Red,Pulses,93,75,13,6.0,39.8,30.9,52.4,10-26-26
Loamy,Millets,39,39,37,7.6,65.8,23.6,40.2,28-28-0
Clayey,Wheat,38,37,52,7.4,68.2,26.5,45.2,28-28-0
Sandy,Groundnut,105,51,82,6.9,69.4,33.1,68.7,DAP
Loamy,Chickpea,83,19,94,5.6,37.8,33.0,50.6,DAP
Loamy,Chickpea,113,19,47,6.2,70.4,25.7,62.9,DAP
Sandy,Cotton,49,66,61,8.3,33.1,21.4,53.0,Urea
Red,Wheat,96,93,66,7.1,69.6,34.5,48.4,17-17-17
Loamy,Rice,107,74,76,8.1,65.9,24.1,59.2,17-17-17
Sandy,Pulses,36,92,56,6.0,37.2,32.5,52.1,Urea
Loamy,Rice,105,60,85,7.6,59.8,24.6,51.1,17-17-17
Clayey,Rice,23,6,57,8.2,38.9,29.0,42.3,28-28-0
Red,Sugarcane,73,74,90,7.9,37.1,21.5,56.6,17-17-17
Loamy,Rice,63,40,23,7.3,27.0,25.8,48.4,10-26-26
Black,Chickpea,43,86,5,6.7,72.0,26.3,44.3,10-26-26
Loamy,Pulses,20,94,64,6.2,59.8,23.8,64.4,Urea
Clayey,Rice,13,23,52,8.1,52.9,37.9,83.4,28-28-0
Red,Chickpea,76,40,42,5.8,57.1,36.0,75.1,DAP
Red,Millets,22,86,70,8.4,72.0,30.5,56.8,Urea
Black,Sugarcane,25,52,24,6.2,60.6,31.7,50.1,10-26-26
Black,Millets,26,34,42,6.6,29.7,31.8,65.6,28-28-0
Sandy,Sugarcane,101,32,68,6.6,46.7,28.8,80.8,DAP
Sandy,Rice,21,48,96,7.8,53.6,24.1,62.5,Urea
Black,Wheat,99,64,67,7.2,41.5,33.5,82.9,17-17-17
Loamy,Wheat,62,71,50,8.3,52.8,25.7,47.6,17-17-17
Clayey,Millets,6,94,21,7.1,32.0,31.1,84.6,10-26-26
Loamy,Millets,30,54,29,6.4,52.6,22.5,71.9,Urea
Sandy,Millets,12,20,18,6.1,56.4,21.5,40.2,14-35-14
Red,Chickpea,62,67,66,6.5,58.6,30.4,59.7,17-17-17
Clayey,Sugarcane,111,64,12,6.4,26.9,35.5,51.3,10-26-26
Red,Wheat,98,51,59,5.7,29.3,23.9,68.0,DAP
Red,Millets,67,23,96,5.6,60.7,22.4,83.6,DAP
Clayey,Groundnut,5,62,5,7.6,66.8,20.5,83.3,10-26-26
Loamy,Maize,67,73,26,7.7,72.7,31.9,52.6,17-17-17
Black,Groundnut,82,96,73,5.5,62.9,24.5,56.0,17-17-17
Red,Rice,104,37,98,7.9,63.2,23.2,40.8,DAP
Clayey,Wheat,23,62,5,6.6,27.3,31.1,68.6,10-26-26
Sandy,Millets,96,36,95,8.3,72.2,32.3,67.7,DAP
Red,Cotton,105,16,71,7.1,47.9,27.0,68.9,DAP
Loamy,Rice,50,6,39,6.1,38.7,31.7,49.3,DAP
Loamy,Groundnut,119,11,72,6.5,59.1,31.8,57.3,DAP
Clayey,Wheat,40,14,77,7.9,61.8,31.3,79.5,DAP
Black,Millets,28,27,66,7.8,43.6,37.8,58.6,28-28-0
Red,Wheat,21,66,88,5.8,62.7,27.7,73.8,Urea
Sandy,Pulses,80,13,75,8.2,25.5,36.1,57.5,DAP
Black,Cotton,56,89,57,7.3,29.6,28.9,43.7,Urea
Loamy,Groundnut,9,39,91,8.5,73.7,22.0,81.9,Urea
Red,Maize,50,17,44,8.0,68.3,32.4,77.7,DAP
Clayey,Pulses,12,69,90,6.2,50.7,36.1,46.6,Urea
Loamy,Cotton,35,23,65,6.6,62.7,37.1,84.4,DAP
Black,Sugarcane,118,96,62,6.3,46.7,24.5,54.9,17-17-17
Red,Cotton,96,66,67,7.5,62.2,33.8,77.0,17-17-17
Loamy,Rice,36,49,65,5.5,73.2,35.6,50.1,20-20-0
Sandy,Wheat,22,51,53,8.4,52.7,37.9,43.3,Urea
Sandy,Rice,78,20,76,8.2,61.9,32.5,57.3,DAP
Red,Sugarcane,12,62,64,7.4,33.5,21.9,55.1,Urea
Red,Maize,21,77,37,7.6,74.3,21.4,83.8,Urea
Red,Wheat,10,86,73,5.7,31.7,30.9,52.2,Urea
Clayey,Pulses,37,69,22,6.0,52.6,21.5,79.4,10-26-26
Black,Rice,81,37,5,8.0,73.5,30.7,57.1,10-26-26
Red,Wheat,105,57,41,7.2,74.8,34.6,85.0,DAP
Loamy,Chickpea,8,66,69,6.3,37.6,24.3,49.2,Urea
Clayey,Rice,7,54,16,7.1,58.6,26.4,45.1,10-26-26
Red,Rice,51,27,83,5.9,45.2,30.1,79.4,DAP
Sandy,Wheat,102,42,54,7.4,70.2,31.5,76.2,DAP
Clayey,Maize,42,92,83,6.5,70.2,27.1,59.7,Urea
Clayey,Groundnut,78,21,88,8.3,32.4,35.5,82.7,DAP
Sandy,Millets,116,79,27,7.4,41.4,37.6,62.2,17-17-17
Black,Groundnut,71,71,31,6.5,34.1,22.5,68.8,17-17-17
Sandy,Maize,65,26,25,6.3,33.4,23.5,41.8,DAP
Loamy,Sugarcane,94,49,31,5.9,69.7,29.6,56.0,DAP
Clayey,Pulses,67,52,65,8.1,29.1,34.4,68.3,DAP
Clayey,Rice,51,60,90,8.5,54.9,35.6,43.8,Urea
Clayey,Groundnut,115,27,22,7.6,37.6,33.5,41.7,DAP
Black,Sugarcane,43,61,21,6.0,61.9,27.1,44.7,10-26-26
Clayey,Groundnut,14,71,22,6.9,42.1,29.6,50.5,10-26-26
